https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1620518400,2021-05-09 00:00:00,XRP/USDT,1.56069439,1.56619032,1.55,1.562845,133437.68437116,85770.38709807
1620432000,2021-05-08 00:00:00,XRP/USDT,1.5795973,1.62609946,1.53999995,1.56069471,9534191.96696151,6043773.17017863
1620345600,2021-05-07 00:00:00,XRP/USDT,1.60360075,1.69221,1.5061338,1.57987513,17325094.79522064,10881224.49855003
1620259200,2021-05-06 00:00:00,XRP/USDT,1.61476388,1.76317177,1.54081633,1.6035929,36257616.34078784,21954424.89397589
1620172800,2021-05-05 00:00:00,XRP/USDT,1.38757152,1.62263523,1.366911,1.61389273,23193891.3148769,15188654.89499186
1620087793,2021-05-04 00:23:13,XRP/USDT,1.38765561,1.38765561,1.38765561,1.38765561,0.0,0.0
1620086400,2021-05-04 00:00:00,XRP/USDT,1.55580303,1.55636485,1.32500001,1.38765561,24431720.38419036,17186291.04488576
1620001434,2021-05-03 00:23:54,XRP/USDT,1.55454998,1.55454998,1.55454998,1.55454998,0.0,0.0
1620000000,2021-05-03 00:00:00,XRP/USDT,1.56110001,1.62162251,1.51453092,1.55454998,9709951.62062798,6166156.56685572
1619915076,2021-05-02 00:24:36,XRP/USDT,1.56117806,1.56117806,1.56117806,1.56117806,0.0,0.0
1619913600,2021-05-02 00:00:00,XRP/USDT,1.65299262,1.65714388,1.52600645,1.56117806,10500134.88916451,6654723.31333146
1619828690,2021-05-01 00:24:50,XRP/USDT,1.65045484,1.65045484,1.65045484,1.65045484,0.0,0.0
1619827200,2021-05-01 00:00:00,XRP/USDT,1.59796022,1.66458348,1.52393974,1.65045484,10720339.65302187,6758386.98455405
1619742222,2021-04-30 00:23:42,XRP/USDT,1.593641,1.593641,1.593641,1.593641,0.0,0.0
1619740800,2021-04-30 00:00:00,XRP/USDT,1.398,1.63903551,1.37535046,1.593641,20878654.88430444,13521244.99042997
1619656003,2021-04-29 00:26:43,XRP/USDT,1.39865088,1.39865088,1.39865088,1.39865088,0.0,0.0
1619654400,2021-04-29 00:00:00,XRP/USDT,1.35789554,1.41884934,1.32766212,1.39865088,8667896.65759609,6281117.05773167
1619570067,2021-04-28 00:34:27,XRP/USDT,1.3578724,1.3578724,1.3578724,1.3578724,0.0,0.0
1619568000,2021-04-28 00:00:00,XRP/USDT,1.40191308,1.4462265,1.28346625,1.3578724,14893764.88650023,10979778.25987122
1619483062,2021-04-27 00:24:22,XRP/USDT,1.40202344,1.40202344,1.40202344,1.40202344,0.0,0.0
1619481600,2021-04-27 00:00:00,XRP/USDT,1.36,1.46672289,1.33,1.40202344,24869835.47206022,17732653.11670926
1619396691,2021-04-26 00:24:51,XRP/USDT,1.3661489,1.3661489,1.3661489,1.3661489,0.0,0.0
1619395200,2021-04-26 00:00:00,XRP/USDT,1.03402371,1.37403784,1.01239832,1.3661489,29716168.62340752,24287259.38286789
1619310236,2021-04-25 00:23:56,XRP/USDT,1.03295634,1.03295634,1.03295634,1.03295634,0.0,0.0
1619308800,2021-04-25 00:00:00,XRP/USDT,1.04976344,1.15461509,0.94525393,1.03295634,13271943.57603307,12557709.02552482
1619223986,2021-04-24 00:26:26,XRP/USDT,1.04946728,1.04946728,1.04946728,1.04946728,0.0,0.0
1619222400,2021-04-24 00:00:00,XRP/USDT,1.17149998,1.1715,1.0,1.04946728,11274343.68259067,10338069.3255038
1619137410,2021-04-23 00:23:30,XRP/USDT,1.17067131,1.17067131,1.17067131,1.17067131,0.0,0.0
1619136000,2021-04-23 00:00:00,XRP/USDT,1.15531021,1.19690108,0.88674465,1.17067131,31989123.32520587,30060034.86706227
1619051061,2021-04-22 00:24:21,XRP/USDT,1.15615334,1.15615334,1.15615334,1.15615334,0.0,0.0
1619049600,2021-04-22 00:00:00,XRP/USDT,1.29389598,1.418675,1.10630381,1.15615334,21907402.16445509,17061088.90862725
1618965975,2021-04-21 00:46:15,XRP/USDT,1.29143599,1.29143599,1.29143599,1.29143599,0.0,0.0
1618963200,2021-04-21 00:00:00,XRP/USDT,1.3851257,1.46285298,1.277,1.29143599,11393095.71683806,8344708.62384564
1618878209,2021-04-20 00:23:29,XRP/USDT,1.38597503,1.38597503,1.38597503,1.38597503,0.0,0.0
1618876800,2021-04-20 00:00:00,XRP/USDT,1.30975219,1.4470105,1.177,1.38597503,20085276.1792263,15413631.29202301
1618791847,2021-04-19 00:24:07,XRP/USDT,1.31024992,1.31024992,1.31024992,1.31024992,0.0,0.0
1618790400,2021-04-19 00:00:00,XRP/USDT,1.41149438,1.53042349,1.251,1.31024992,20764057.78669505,15078274.38590318
1618705336,2021-04-18 00:22:16,XRP/USDT,1.41,1.41,1.41,1.41,0.0,0.0
1618704000,2021-04-18 00:00:00,XRP/USDT,1.5424539,1.5635612,1.14504481,1.41,34018850.16053271,25930860.73423865
1618619238,2021-04-17 00:27:18,XRP/USDT,1.54,1.54,1.54,1.54,0.0,0.0
1618617600,2021-04-17 00:00:00,XRP/USDT,1.54900153,1.7416487,1.53385284,1.54,16697173.89016012,10281534.83122016
1618532808,2021-04-16 00:26:48,XRP/USDT,1.54900153,1.54900153,1.54900153,1.54900153,0.0,0.0
1618531200,2021-04-16 00:00:00,XRP/USDT,1.76165189,1.81,1.42,1.54900153,41637859.14508426,25704684.85558834
1618446350,2021-04-15 00:25:50,XRP/USDT,1.75715096,1.75715096,1.75715096,1.75715096,0.0,0.0
1618444800,2021-04-15 00:00:00,XRP/USDT,1.83747209,1.88434078,1.6525,1.75715096,31192756.63017543,17772953.50967544
1618360863,2021-04-14 00:41:03,XRP/USDT,1.83333333,1.83333333,1.83333333,1.83333333,0.0,0.0
1618358400,2021-04-14 00:00:00,XRP/USDT,1.7953274,1.965097,1.5649103,1.83333333,77763738.62392245,43841555.81535854
1618273319,2021-04-13 00:21:59,XRP/USDT,1.79562596,1.79562596,1.79562596,1.79562596,0.0,0.0
1618272000,2021-04-13 00:00:00,XRP/USDT,1.46896671,1.895,1.41945875,1.79562596,60894493.45476387,35679996.41367065
1618186934,2021-04-12 00:22:14,XRP/USDT,1.47029153,1.47029153,1.47029153,1.47029153,0.0,0.0
1618185600,2021-04-12 00:00:00,XRP/USDT,1.35310445,1.473,1.31836734,1.47029153,15578038.41089306,11304889.12998417
1618100432,2021-04-11 00:20:32,XRP/USDT,1.35265697,1.35265697,1.35265697,1.35265697,0.0,0.0
1618099200,2021-04-11 00:00:00,XRP/USDT,1.3765019,1.495,1.305,1.35265697,37713795.78871116,27050984.72420667
1618014246,2021-04-10 00:24:06,XRP/USDT,1.37564559,1.37564559,1.37564559,1.37564559,0.0,0.0
1618012800,2021-04-10 00:00:00,XRP/USDT,1.01862721,1.39658173,1.00675179,1.37564559,32475986.12897454,26192359.54186734
1617927745,2021-04-09 00:22:25,XRP/USDT,1.01914127,1.01914127,1.01914127,1.01914127,0.0,0.0
1617926400,2021-04-09 00:00:00,XRP/USDT,1.05990902,1.085,0.9756,1.01914127,7679567.78929098,7464311.61097819
1617841450,2021-04-08 00:24:10,XRP/USDT,1.05756314,1.05756314,1.05756314,1.05756314,0.0,0.0
1617840000,2021-04-08 00:00:00,XRP/USDT,0.91952459,1.07238655,0.9025936,1.05756314,11885091.94719262,12126514.83024379
